Political Parties\States,Total Seats per State,Bharatiya Janata Party - BJP,Indian National Congress - INC,Samajwadi Party - SP,All India Trinamool Congress - AITC,Dravida Munnetra Kazhagam - DMK,Telugu Desam - TDP,Janata Dal  (United) - JD(U),Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,Nationalist Congress Party - Sharadchandra Pawar - NCPSP,Shiv Sena - SHS,Others
Andaman and Nicobar,1,1,,,,,,,,,,0
Andhra Pradesh,25,3,,,,,16,,,,,22
Arunachal Pradesh,2,2,,,,,,,,,,0
Assam,14,9,3,,,,,,,,,2
Bihar,40,12,3,,,,,12,,,,25
Chandigarh,1,,1,,,,,,,,,0
Chattisgarh,11,10,1,,,,,,,,,0
Dadra & Nagar Haveli and Daman & Diu,2,1,,,,,,,,,,1
Goa,2,1,1,,,,,,,,,0
Gujarat,26,25,1,,,,,,,,,0
Haryana,10,5,5,,,,,,,,,0
Himachal Pradesh,4,4,,,,,,,,,,0
Jammu and Kashmir,5,2,,,,,,,,,,3
Jharkhand,14,8,2,,,,,,,,,4
Karnataka,28,17,9,,,,,,,,,2
Kerala,20,1,14,,,,,,,,,5
Ladakh,1,,,,,,,,,,,1
Lakshadweep,1,,1,,,,,,,,,0
Madhya Pradesh,29,29,,,,,,,,,,0
Maharashtra,48,9,13,,,,,,9,8,7,26
Manipur,2,,2,,,,,,,,,0
Meghalaya,2,,1,,,,,,,,,1
Mizoram,1,,,,,,,,,,,1
Nagaland,1,,1,,,,,,,,,0
NCT of Delhi,7,7,,,,,,,,,,0
Odisha,21,20,1,,,,,,,,,0
Puducherry,1,,1,,,,,,,,,0
Punjab,13,,7,,,,,,,,,6
Rajasthan,25,14,8,,,,,,,,,3
Sikkim,1,,,,,,,,,,,1
Tamil Nadu,39,,9,,,22,,,,,,30
Telangana,17,8,8,,,,,,,,,1
Tripura,2,2,,,,,,,,,,0
Uttar Pradesh,80,33,6,37,,,,,,,,41
Uttarakhand,5,5,,,,,,,,,,0
West Bengal,42,12,1,,29,,,,,,,29
Total Seats per Party,0,0,0,0,0,0,0,0,0,0,0,0
